EntrezGeneID,control.1,control.2,control.3,control.4,control.5,case.1,case.2,case.3,case.4,case.5
4502,9.470749,9.85352,10.617697,10.41534,9.775488,9.340947,10.377565,9.983543,9.299814,10.336497
4504,3.981981,3.541115,4.372739,3.799108,4.019358,3.757812,3.929253,4.465899,3.938349,4.593069
4507,3.3919076,3.6578648,3.560326,3.4197278,3.3514674,3.2910272,3.4318116,3.310101,3.4100626,3.7027792
4515,2.827832,2.685136,2.978064,2.874244,3.547459,2.992631,3.252088,4.483759,3.684247,3.328741
4520,5.752088,5.3416945,5.271542,5.174504,5.7906155,4.9348885,5.800059,5.3133195,5.0799285,5.225603
4521,5.941682,6.201936,6.393972,6.157376,6.559255,6.263299,6.47919,6.168252,5.326416,6.351929
4522,9.26878,8.13893,9.602651,8.211377,8.150898,7.663903,8.547307,8.444611,9.214271,9.781948
4524,3.123587,3.040958333,3.325270667,3.185342333,3.298836,3.260614667,3.267412,3.677255,3.554415,3.358739667
4528,8.18417,7.501445,8.492606,8.263241,8.336309,7.671947,8.549386,7.959952,8.789298,8.719978
4534,4.332234,4.346019,4.413963,3.960908,3.9288185,4.156892,4.407028,3.626835,4.365699,4.8135835
4542,3.860175,3.86203,4.406167,4.786046,5.667977,4.293465,3.593313,4.050556,5.094872,4.257983
4543,3.164169,2.935876,3.17037,2.772164,3.051205,3.039931,2.918095,2.776733,3.104038,2.906484
4544,2.865422,3.043447,2.960399,2.684375,2.904677,2.95825,3.153835,3.121827,2.946026,3.123521
4547,2.613248,2.768187,2.674306,2.717119,2.703237,2.811513,2.582654,2.823847,2.93898,2.786797
4548,8.530765,6.949416,6.60077,6.544121,6.533006,7.389686,8.152397,7.042587,6.872548,7.314699
4552,5.288613,5.185968,5.343441,5.133027,5.261387,6.0044305,5.6930965,5.1881955,5.449228,6.9564315
4580,6.886857,6.939034,6.93245,7.769888,7.732358,7.601763,7.493239,6.830897,6.401811,7.026137
4582,7.613746,7.693751,9.155847333,8.91538,9.06173,9.107533667,9.136978667,9.083654,7.690141333,7.446052
4583,3.196024,3.229659,3.538581,3.299804,3.110234,3.369145,3.308575,3.123302,3.281969,3.034887
4584,3.504055,3.59702,4.0444165,3.7033885,3.7941485,3.579305,3.7454165,4.092136,3.452032,3.674715
4585,3.012527667,3.074528333,2.952394,3.691254667,4.637756667,3.005981,3.045268333,3.381272,3.775737667,2.990750333
4586,3.211300333,3.212263333,3.438197333,3.314719,3.601220333,3.185302667,3.241986667,3.442878667,3.454280667,3.213295667
4588,3.306657,3.14344,3.603848,3.071844,3.071419,2.968177,2.877815,3.225087,3.261908,3.000857
4589,2.8122735,2.753935,2.8888185,2.7812745,2.911958,2.824215,2.866772,2.9923445,2.8836625,2.7868275
4591,8.572073,7.554919,7.799535,7.028764,7.770266,7.926032,8.404838,7.483186,6.497232,8.359578
4593,2.852516,2.7400165,2.926139,2.804203,2.8706225,2.643618,2.8683175,2.9803095,2.826769,2.8903145
4594,7.518647,7.7174965,6.9509485,7.6811805,7.962442,7.1422955,7.0136345,7.2012205,7.48411,6.875613
4595,7.405783,6.916227,8.051771,6.686055,7.807045,6.574201,8.165102,7.576448,7.051352,8.322509
